Game,n_splits,n_countries,n_events,rule_name,distance,distance_std
1896 Summer,10,12,43,Two Approval,0.052,0.022
1896 Summer,10,12,43,Plurality Veto,0.066,0.02
1896 Summer,10,12,43,Plurality,0.073,0.027
1896 Summer,10,12,43,Borda,0.075,0.032
1896 Summer,10,12,43,Anti-Plurality,0.089,0.022
1900 Summer,10,31,90,Borda,0.029,0.011
1900 Summer,10,31,90,Plurality Veto,0.038,0.012
1900 Summer,10,31,90,Two Approval,0.041,0.012
1900 Summer,10,31,90,Anti-Plurality,0.045,0.015
1900 Summer,10,31,90,Plurality,0.05,0.02
1904 Summer,10,15,95,Borda,0.048,0.016
1904 Summer,10,15,95,Plurality,0.076,0.026
1904 Summer,10,15,95,Plurality Veto,0.079,0.038
1904 Summer,10,15,95,Two Approval,0.079,0.037
1904 Summer,10,15,95,Anti-Plurality,0.095,0.027
1906 Summer,10,21,74,Borda,0.048,0.014
1906 Summer,10,21,74,Two Approval,0.053,0.012
1906 Summer,10,21,74,Plurality,0.062,0.017
1906 Summer,10,21,74,Plurality Veto,0.064,0.019
1906 Summer,10,21,74,Anti-Plurality,0.078,0.023
1908 Summer,10,22,109,Borda,0.024,0.011
1908 Summer,10,22,109,Two Approval,0.031,0.014
1908 Summer,10,22,109,Plurality Veto,0.034,0.016
1908 Summer,10,22,109,Plurality,0.043,0.022
1908 Summer,10,22,109,Anti-Plurality,0.048,0.022
1912 Summer,10,29,107,Borda,0.026,0.009
1912 Summer,10,29,107,Two Approval,0.029,0.01
1912 Summer,10,29,107,Plurality Veto,0.039,0.012
1912 Summer,10,29,107,Plurality,0.059,0.021
1912 Summer,10,29,107,Anti-Plurality,0.074,0.036
1920 Summer,10,29,158,Borda,0.021,0.008
1920 Summer,10,29,158,Two Approval,0.03,0.009
1920 Summer,10,29,158,Plurality Veto,0.032,0.012
1920 Summer,10,29,158,Plurality,0.035,0.009
1920 Summer,10,29,158,Anti-Plurality,0.064,0.016
1924 Summer,10,45,131,Borda,0.039,0.014
1924 Summer,10,45,131,Two Approval,0.049,0.014
1924 Summer,10,45,131,Plurality Veto,0.06,0.017
1924 Summer,10,45,131,Plurality,0.061,0.009
1924 Summer,10,45,131,Anti-Plurality,0.075,0.018
1924 Winter,10,19,17,Borda,0.044,0.02
1924 Winter,10,19,17,Two Approval,0.06,0.025
1924 Winter,10,19,17,Plurality,0.082,0.028
1924 Winter,10,19,17,Plurality Veto,0.087,0.026
1924 Winter,10,19,17,Anti-Plurality,0.092,0.029
1928 Summer,10,46,122,Borda,0.034,0.011
