Game,n_splits,n_countries,n_events,rule_name,distance,distance_std
1896 Summer,100,12,43,Annealing Score Vector,0.062,0.034
1896 Summer,100,12,43,Borda,0.068,0.037
1896 Summer,100,12,43,Plurality,0.072,0.041
1896 Summer,100,12,43,Two Approval,0.076,0.037
1896 Summer,100,12,43,Plurality Veto,0.078,0.038
1896 Summer,100,12,43,Anti-Plurality,0.081,0.037
1900 Summer,100,31,90,Borda,0.028,0.011
1900 Summer,100,31,90,Annealing Score Vector,0.03,0.013
1900 Summer,100,31,90,Two Approval,0.037,0.014
1900 Summer,100,31,90,Plurality,0.038,0.013
1900 Summer,100,31,90,Plurality Veto,0.042,0.016
1900 Summer,100,31,90,Anti-Plurality,0.048,0.016
1904 Summer,100,15,95,Annealing Score Vector,0.057,0.024
1904 Summer,100,15,95,Borda,0.059,0.024
1904 Summer,100,15,95,Two Approval,0.063,0.025
1904 Summer,100,15,95,Plurality,0.068,0.032
1904 Summer,100,15,95,Plurality Veto,0.069,0.034
1904 Summer,100,15,95,Anti-Plurality,0.07,0.03
1906 Summer,100,21,74,Annealing Score Vector,0.045,0.02
1906 Summer,100,21,74,Two Approval,0.047,0.019
1906 Summer,100,21,74,Borda,0.048,0.02
1906 Summer,100,21,74,Plurality Veto,0.064,0.025
1906 Summer,100,21,74,Plurality,0.069,0.028
1906 Summer,100,21,74,Anti-Plurality,0.084,0.03
1908 Summer,100,22,109,Borda,0.022,0.011
1908 Summer,100,22,109,Annealing Score Vector,0.026,0.012
1908 Summer,100,22,109,Two Approval,0.035,0.018
1908 Summer,100,22,109,Plurality Veto,0.039,0.019
1908 Summer,100,22,109,Anti-Plurality,0.043,0.019
1908 Summer,100,22,109,Plurality,0.044,0.017
1912 Summer,100,29,107,Borda,0.024,0.01
1912 Summer,100,29,107,Annealing Score Vector,0.024,0.01
1912 Summer,100,29,107,Two Approval,0.029,0.011
1912 Summer,100,29,107,Plurality,0.04,0.015
1912 Summer,100,29,107,Plurality Veto,0.044,0.014
1912 Summer,100,29,107,Anti-Plurality,0.063,0.023
1920 Summer,100,29,158,Borda,0.025,0.01
1920 Summer,100,29,158,Annealing Score Vector,0.025,0.009
1920 Summer,100,29,158,Two Approval,0.032,0.014
1920 Summer,100,29,158,Plurality,0.035,0.014
1920 Summer,100,29,158,Plurality Veto,0.035,0.014
1920 Summer,100,29,158,Anti-Plurality,0.056,0.02
1924 Summer,100,45,131,Annealing Score Vector,0.04,0.011
1924 Summer,100,45,131,Borda,0.042,0.013
