Dataset,n_splits,n_alternatives,n_voters,rule_name,distance,distance_std
F1 Seasons (2004),200,25,18,Borda,0.111,0.022
F1 Seasons (2004),200,25,18,Plurality,0.445,0.018
F1 Seasons (2004),200,25,18,Plurality Veto,0.231,0.022
F1 Seasons (2004),200,25,18,Anti-Plurality,0.257,0.013
F1 Seasons (2004),200,25,18,Two Approval,0.361,0.024
F1 Seasons (2004),200,25,18,F1-2004,0.161,0.02
F1 Seasons (2017),200,25,20,Borda,0.109,0.019
F1 Seasons (2017),200,25,20,Plurality,0.384,0.023
F1 Seasons (2017),200,25,20,Plurality Veto,0.185,0.024
F1 Seasons (2017),200,25,20,Anti-Plurality,0.265,0.026
F1 Seasons (2017),200,25,20,Two Approval,0.336,0.026
F1 Seasons (2017),200,25,20,F1-2017,0.146,0.02
F1 Seasons (2003),200,24,16,Borda,0.152,0.026
F1 Seasons (2003),200,24,16,Plurality,0.43,0.03
F1 Seasons (2003),200,24,16,Plurality Veto,0.264,0.031
F1 Seasons (2003),200,24,16,Anti-Plurality,0.307,0.018
F1 Seasons (2003),200,24,16,Two Approval,0.32,0.034
F1 Seasons (2003),200,24,16,F1-2003,0.195,0.027
F1 Seasons (1991),200,41,16,Borda,0.143,0.019
F1 Seasons (1991),200,41,16,Plurality,0.442,0.013
F1 Seasons (1991),200,41,16,Plurality Veto,0.21,0.025
F1 Seasons (1991),200,41,16,Anti-Plurality,0.254,0.028
F1 Seasons (1991),200,41,16,Two Approval,0.399,0.015
F1 Seasons (1991),200,41,16,F1-1991,0.071,0.054
F1 Seasons (2005),200,27,19,Borda,0.072,0.012
F1 Seasons (2005),200,27,19,Plurality,0.202,0.007
F1 Seasons (2005),200,27,19,Plurality Veto,0.077,0.014
F1 Seasons (2005),200,27,19,Anti-Plurality,0.096,0.013
F1 Seasons (2005),200,27,19,Two Approval,0.164,0.017
F1 Seasons (2005),200,27,19,F1-2005,0.106,0.011
F1 Seasons (2006),200,27,18,Borda,0.138,0.021
F1 Seasons (2006),200,27,18,Plurality,0.413,0.016
F1 Seasons (2006),200,27,18,Plurality Veto,0.197,0.022
F1 Seasons (2006),200,27,18,Anti-Plurality,0.249,0.017
F1 Seasons (2006),200,27,18,Two Approval,0.387,0.017
F1 Seasons (2006),200,27,18,F1-2006,0.162,0.023
F1 Seasons (1992),200,37,16,Borda,0.137,0.023
F1 Seasons (1992),200,37,16,Plurality,0.44,0.015
F1 Seasons (1992),200,37,16,Plurality Veto,0.188,0.031
F1 Seasons (1992),200,37,16,Anti-Plurality,0.228,0.034
F1 Seasons (1992),200,37,16,Two Approval,0.383,0.011
F1 Seasons (1992),200,37,16,F1-1992,0.158,0.037
F1 Seasons (1996),200,24,16,Borda,0.17,0.033
F1 Seasons (1996),200,24,16,Plurality,0.395,0.019
F1 Seasons (1996),200,24,16,Plurality Veto,0.238,0.017
F1 Seasons (1996),200,24,16,Anti-Plurality,0.317,0.009
F1 Seasons (1996),200,24,16,Two Approval,0.36,0.014
F1 Seasons (1996),200,24,16,F1-1996,0.148,0.025
F1 Seasons (2002),200,23,17,Borda,0.1,0.016
F1 Seasons (2002),200,23,17,Plurality,0.21,0.006
F1 Seasons (2002),200,23,17,Plurality Veto,0.143,0.009
F1 Seasons (2002),200,23,17,Anti-Plurality,0.177,0.011
F1 Seasons (2002),200,23,17,Two Approval,0.174,0.014
F1 Seasons (2002),200,23,17,F1-2002,0.089,0.015
F1 Seasons (2001),200,26,17,Borda,0.098,0.015
F1 Seasons (2001),200,26,17,Plurality,0.203,0.015
F1 Seasons (2001),200,26,17,Plurality Veto,0.11,0.017
F1 Seasons (2001),200,26,17,Anti-Plurality,0.14,0.015
F1 Seasons (2001),200,26,17,Two Approval,0.165,0.012
F1 Seasons (2001),200,26,17,F1-2001,0.085,0.014
