n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
100,5,50,MALLOWS-RELPHI-R,Homogeneity,500,260,"Counter({'Borda': 152, 'Two Approval': 32, 'Plurality Veto': 21, 'Dowdall': 13, 'Anti-Plurality': 12, 'Plurality': 10})"
100,5,50,MALLOWS-RELPHI-R,Reversal Symmetry,500,0,"Counter({'Borda': 310, 'Plurality Veto': 53, 'Two Approval': 51, 'Dowdall': 46, 'Anti-Plurality': 24, 'Plurality': 16})"
100,5,50,MALLOWS-RELPHI-R,Monotonicity,500,6,"Counter({'Borda': 328, 'Plurality Veto': 45, 'Two Approval': 45, 'Dowdall': 43, 'Anti-Plurality': 18, 'Plurality': 15})"
100,5,50,MALLOWS-RELPHI-R,Strong Consistency,258,42,"Counter({'Borda': 203, 'Two Approval': 5, 'Plurality Veto': 4, 'Dowdall': 3, 'Anti-Plurality': 1})"
100,5,50,MALLOWS-RELPHI-R,Weak Consistency,225,21,"Counter({'Borda': 199, 'Dowdall': 3, 'Two Approval': 1, 'Plurality Veto': 1})"
100,5,50,URN-R,Homogeneity,500,156,"Counter({'Borda': 127, 'Two Approval': 66, 'Plurality Veto': 49, 'Dowdall': 41, 'Anti-Plurality': 36, 'Plurality': 25})"
100,5,50,URN-R,Reversal Symmetry,500,0,"Counter({'Borda': 159, 'Two Approval': 88, 'Plurality Veto': 86, 'Dowdall': 74, 'Anti-Plurality': 51, 'Plurality': 42})"
100,5,50,URN-R,Monotonicity,500,2,"Counter({'Borda': 158, 'Two Approval': 87, 'Plurality Veto': 87, 'Dowdall': 73, 'Anti-Plurality': 52, 'Plurality': 41})"
100,5,50,URN-R,Strong Consistency,219,21,"Counter({'Borda': 109, 'Plurality Veto': 28, 'Two Approval': 25, 'Dowdall': 21, 'Anti-Plurality': 9, 'Plurality': 6})"
100,5,50,URN-R,Weak Consistency,180,4,"Counter({'Borda': 107, 'Plurality Veto': 24, 'Dowdall': 19, 'Two Approval': 18, 'Anti-Plurality': 5, 'Plurality': 3})"
100,5,50,plackett_luce,Homogeneity,500,255,"Counter({'Borda': 186, 'Plurality Veto': 23, 'Two Approval': 19, 'Anti-Plurality': 17})"
100,5,50,plackett_luce,Reversal Symmetry,500,0,"Counter({'Borda': 333, 'Plurality Veto': 97, 'Anti-Plurality': 40, 'Two Approval': 15, 'Dowdall': 15})"
100,5,50,plackett_luce,Monotonicity,500,0,"Counter({'Borda': 317, 'Plurality Veto': 106, 'Anti-Plurality': 36, 'Two Approval': 22, 'Dowdall': 19})"
100,5,50,plackett_luce,Strong Consistency,193,50,"Counter({'Borda': 130, 'Plurality Veto': 12, 'Dowdall': 1})"
100,5,50,plackett_luce,Weak Consistency,174,40,"Counter({'Borda': 122, 'Plurality Veto': 11, 'Dowdall': 1})"
100,5,50,single_peaked_conitzer,Homogeneity,500,156,"Counter({'Borda': 285, 'Plurality Veto': 55, 'Dowdall': 4})"
100,5,50,single_peaked_conitzer,Reversal Symmetry,500,0,"Counter({'Borda': 419, 'Plurality Veto': 74, 'Dowdall': 4, 'Anti-Plurality': 3})"
100,5,50,single_peaked_conitzer,Monotonicity,500,3,"Counter({'Borda': 408, 'Plurality Veto': 83, 'Dowdall': 4, 'Anti-Plurality': 2})"
100,5,50,single_peaked_conitzer,Strong Consistency,254,72,"Counter({'Borda': 119, 'Plurality Veto': 63})"
100,5,50,single_peaked_conitzer,Weak Consistency,83,4,"Counter({'Borda': 59, 'Plurality Veto': 20})"
100,5,50,IC,Homogeneity,500,188,"Counter({'Anti-Plurality': 83, 'Two Approval': 82, 'Plurality': 72, 'Borda': 30, 'Plurality Veto': 24, 'Dowdall': 21})"
100,5,50,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 137, 'Two Approval': 116, 'Plurality': 109, 'Dowdall': 54, 'Borda': 44, 'Plurality Veto': 40})"
100,5,50,IC,Monotonicity,500,18,"Counter({'Anti-Plurality': 121, 'Two Approval': 113, 'Plurality': 111, 'Plurality Veto': 52, 'Dowdall': 43, 'Borda': 42})"
100,5,50,IC,Strong Consistency,91,56,"Counter({'Anti-Plurality': 10, 'Two Approval': 10, 'Plurality': 9, 'Plurality Veto': 5, 'Dowdall': 1})"
100,5,50,IC,Weak Consistency,1,0,Counter({'Plurality Veto': 1})
