,user_analysis_id,proposal_analysis_id,review_group,sci_cat,ref_knowledge,ref_knowledge_text,dt_knowledge,dt_knowledge_group,conflicted,grade,rank_user
0,u770,p059,deepthought,D,2,general_knowledge,0.4446121982039967,best,0,4.0,8.0
1,u770,p126,deepthought,B,3,little_knowledge,0.22882209120223623,median,0,1.4,2.0
2,u770,p272,deepthought,C,2,general_knowledge,0.2885210675503069,best,0,3.0,5.0
3,u770,p205,deepthought,B,3,little_knowledge,0.18711201522247908,worst,0,3.0,5.0
4,u770,p202,deepthought,B,2,general_knowledge,0.22960605303401957,median,0,1.5,3.0
5,u770,p564,deepthought,D,2,general_knowledge,0.3535282911196537,best,0,3.0,5.0
6,u770,p295,deepthought,D,3,little_knowledge,0.35093468705780717,best,0,1.2,1.0
7,u770,p159,deepthought,C,2,general_knowledge,0.1288832674265319,worst,0,3.2,7.0
24,u814,p201,deepthought,A,1,expert,0.26433813669506506,median,0,2.5,4.0
25,u814,p240,deepthought,D,3,little_knowledge,0.2682036651941586,median,0,1.5,1.0
26,u814,p451,deepthought,B,,,0.3890104665323162,best,1,,
27,u814,p202,deepthought,B,1,expert,0.532656121927925,best,0,2.2,3.0
28,u814,p785,deepthought,C,3,little_knowledge,0.1496716994793777,worst,0,3.0,6.5
29,u814,p470,deepthought,D,3,little_knowledge,0.25194491492295035,worst,0,2.0,2.0
30,u814,p136,deepthought,B,1,expert,0.45101048543340144,best,0,2.7,5.0
31,u814,p978,deepthought,B,1,expert,0.4681630569646889,best,0,3.0,6.5
40,u178,p632,deepthought,D,2,general_knowledge,0.39635819830472574,best,0,1.5,2.0
41,u178,p492,deepthought,D,3,little_knowledge,0.2172337383025401,worst,0,1.8,4.0
42,u178,p654,deepthought,D,3,little_knowledge,0.23659326490775073,best,0,3.0,8.0
43,u178,p057,deepthought,D,3,little_knowledge,0.2591831226615168,median,0,2.5,7.0
44,u178,p983,deepthought,D,1,expert,0.512223193663701,best,1,1.0,1.0
45,u178,p241,deepthought,C,2,general_knowledge,0.548765137395623,best,0,1.6,3.0
46,u178,p920,deepthought,A,3,little_knowledge,0.209601052201103,median,0,2.4,6.0
47,u178,p023,deepthought,B,3,little_knowledge,0.19059015252824668,worst,0,2.0,5.0
48,u621,p248,deepthought,B,3,little_knowledge,0.19778403421916202,median,0,2.1,2.0
49,u621,p641,deepthought,B,2,general_knowledge,0.1604175121037426,worst,0,2.4,7.0
50,u621,p367,deepthought,C,1,expert,0.48137240662541525,best,0,2.3,5.0
51,u621,p955,deepthought,C,1,expert,0.5663577564631479,best,0,2.3,5.0
52,u621,p774,deepthought,D,2,general_knowledge,0.2708072479604792,best,0,3.0,8.0
53,u621,p133,deepthought,C,1,expert,0.5447844953862682,best,0,1.2,1.0
54,u621,p202,deepthought,B,3,little_knowledge,0.12585754181309966,worst,0,2.2,3.0
55,u621,p581,deepthought,A,3,little_knowledge,0.2003104770290269,median,0,2.3,5.0
56,u758,p528,deepthought,A,3,little_knowledge,0.12343982339436813,worst,0,2.5,2.0
57,u758,p824,deepthought,D,,,0.4602348218686714,best,1,,
58,u758,p334,deepthought,D,1,expert,0.19466555919370498,median,0,3.5,5.0
59,u758,p971,deepthought,A,3,little_knowledge,0.14829751150482523,worst,0,2.0,1.0
60,u758,p238,deepthought,D,,,0.2885937581152126,best,1,,
61,u758,p470,deepthought,D,1,expert,0.3027338768498391,best,0,3.5,5.0
62,u758,p341,deepthought,D,1,expert,0.4883373450300935,best,0,3.0,3.0
63,u758,p136,deepthought,B,3,little_knowledge,0.19156510879529945,median,0,3.5,5.0
64,u182,p813,deepthought,B,3,little_knowledge,0.24839540974828045,median,0,2.3,3.5
65,u182,p400,deepthought,A,,,0.5170029247103383,best,1,,
66,u182,p360,deepthought,D,3,little_knowledge,0.23994316511395025,worst,0,1.4,1.0
67,u182,p193,deepthought,C,3,little_knowledge,0.17976682087848064,worst,0,2.3,3.5
68,u182,p385,deepthought,B,2,general_knowledge,0.2511553410506729,median,0,2.7,6.0
69,u182,p027,deepthought,D,1,expert,0.38671295637536984,best,0,2.3,3.5
70,u182,p022,deepthought,D,1,expert,0.36485489349140593,best,0,2.3,3.5
71,u182,p046,deepthought,D,,,0.40605150649950494,best,1,,
72,u109,p056,opc_emulate,D,3,little_knowledge,,,0,2.0,4.5
73,u109,p444,opc_emulate,D,2,general_knowledge,,,0,1.7,2.0
74,u109,p997,opc_emulate,D,2,general_knowledge,,,0,1.8,3.0
75,u109,p563,opc_emulate,D,2,general_knowledge,,,0,2.0,4.5
76,u109,p810,opc_emulate,D,3,little_knowledge,,,0,2.3,7.0
77,u109,p591,opc_emulate,D,2,general_knowledge,,,0,1.3,1.0
78,u109,p224,opc_emulate,D,2,general_knowledge,,,0,2.4,8.0
79,u109,p124,opc_emulate,D,3,little_knowledge,,,0,2.2,6.0
80,u268,p056,opc_emulate,D,2,general_knowledge,,,0,2.1,2.0
81,u268,p444,opc_emulate,D,3,little_knowledge,,,0,3.5,8.0
82,u268,p997,opc_emulate,D,3,little_knowledge,,,0,2.6,4.0
83,u268,p563,opc_emulate,D,3,little_knowledge,,,0,3.0,5.5
84,u268,p382,opc_emulate,D,3,little_knowledge,,,0,1.9,1.0
85,u268,p767,opc_emulate,D,1,expert,,,0,3.0,5.5
86,u268,p383,opc_emulate,D,3,little_knowledge,,,0,2.5,3.0
87,u268,p224,opc_emulate,D,2,general_knowledge,,,0,3.2,7.0
88,u778,p060,deepthought,D,3,little_knowledge,0.13602899566997426,worst,0,2.5,4.5
89,u778,p472,deepthought,D,2,general_knowledge,0.3710026988126095,best,0,1.5,2.0
90,u778,p517,deepthought,C,1,expert,0.38884403903286124,best,0,2.0,3.0
91,u778,p785,deepthought,C,,,0.2337625913650963,best,1,,
92,u778,p917,deepthought,A,3,little_knowledge,0.09747788686555382,worst,0,3.5,7.0
93,u778,p971,deepthought,A,3,little_knowledge,0.17705952778765632,median,0,2.5,4.5
94,u778,p736,deepthought,D,2,general_knowledge,0.32742588625653435,best,0,3.0,6.0
95,u778,p987,deepthought,A,3,little_knowledge,0.17625843885335954,median,0,1.0,1.0
96,u247,p012,deepthought,B,3,little_knowledge,0.17092034290111466,worst,0,1.7,2.0
97,u247,p933,deepthought,D,1,expert,0.5020590564316217,best,0,2.0,3.5
98,u247,p562,deepthought,A,3,little_knowledge,0.23000382567250488,median,0,2.0,3.5
99,u247,p118,deepthought,C,1,expert,0.4537772927175864,best,0,3.0,8.0
100,u247,p955,deepthought,C,2,general_knowledge,0.23430343066522305,median,0,2.5,6.0
101,u247,p700,deepthought,D,2,general_knowledge,0.46630626531522723,best,0,1.5,1.0
102,u247,p800,deepthought,B,3,little_knowledge,0.16756258397513832,worst,0,2.8,7.0
103,u247,p884,deepthought,D,2,general_knowledge,0.34152532980551237,best,0,2.3,5.0
112,u436,p367,deepthought,C,1,expert,0.21572712879686873,median,0,1.9,2.0
